ID,GUID,createdtweet,DateLocal,idtweet,usertweet,TweetMsg,SearchParameter,retweeted,retweet_count,lang
88,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:02,2020-09-03 23:32:02,1301739777700495360,Sharon Fritche,"RT @kenolin1: Before @JoeBiden agrees to debate @realDonaldTrump he should insist @ddale8 be on split-screen, fact checking in real time.",JoeBiden,0,59,en
89,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:02,2020-09-03 23:32:02,1301739775028637696,DigDeep 🌹,@EverCarradine @MeredthSalenger @JoeBiden @KamalaHarris This is sad that you could rest easy after such an inconseq… https://t.co/NRqrN0RhDv,JoeBiden,0,0,en
90,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:02,2020-09-03 23:32:02,1301739774890270721,modern day Teddy Ruxpin,"@KamalaHarris @JoeBiden For fucks sake Kamala, look at @JoeBiden's own kids.",JoeBiden,0,0,en
91,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:02,2020-09-03 23:32:02,1301739774353354757,Tired of Liberals I am keeping my weapon,"RT @tillmantweets: @JoeBiden @realDonaldTrump Who cares.
No body Putts dirty money on their tax returns... https://t.co/s5nryi4pqF",JoeBiden,0,1,en
92,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:01,2020-09-03 23:32:01,1301739773946597376,Cheryl,"RT @superyayadize: Starting to see the wisdom in @realDonaldTrump suggesting he &amp; @JoeBiden be drug tested.

Check the needle holes in his…",JoeBiden,0,2926,en
93,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:01,2020-09-03 23:32:01,1301739773846065152,BoUSAknows (Parler: boduece2),@PassTheSalty @JoeBiden @IamDallasLyn So you really don’t care about the earth than if China and India pollute more… https://t.co/ipOOlzRubQ,JoeBiden,0,0,en
94,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:01,2020-09-03 23:32:01,1301739773825032192,Gandalf My Case and Stay TF Home,"RT @grandmagrit: Who else likes @JoeBiden's idea of live, on screen, fact checks during the debates?",JoeBiden,0,4013,en
95,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:01,2020-09-03 23:32:01,1301739773040631811,rashard,@JoeBiden I didn’t read this tweet but I know it’s fake news. Everyone knows joe is in Bed by 8:00pm,JoeBiden,0,0,en
96,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:01,2020-09-03 23:32:01,1301739771715223552,David Gates,@user82726161727 @unleashthetea @JoeBiden Shows the ignorance of the left !!,JoeBiden,0,0,en
97,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:00,2020-09-03 23:32:00,1301739769785774082,Castello,"RT @ProudSocialist: If @JoeBiden loses it will not be the fault of leftist, independent, or youth voters. It will be the fault of Biden for…",JoeBiden,0,98,en
